,final_legend,geometrie,nennstrom,technologie,phase,5% In,20% In,50% In,80% In,90% In,100% In,120% In,total_score,Preis (€),volumen
64,Celsa 2025 12 12 1206-Celsa-ALO 20060-5000A-0R0  | Dreieck,Dreieck,5000,Standard,L2,"0,027","-0,176","-0,219","-0,261","-0,261","-0,260","-0,174","83,314","124,760","1989,000"
65,Celsa 2025 12 12 1206-Celsa-ALO 20060-5000A-0R0  | Dreieck,Dreieck,5000,Standard,L3,"0,198","-0,035","-0,103","-0,137","-0,140","-0,146","-0,176","49,239","124,760","1989,000"
66,Celsa 2025 12 12 1406-Celsa-ALO 20060-5000A-0R0  | Parallel,Parallel,5000,Standard,L1,"0,127","-0,205","-0,272","-0,309","-0,321","-0,340","-0,848","114,802","124,760","1989,000"
67,Celsa 2025 12 12 1406-Celsa-ALO 20060-5000A-0R0  | Parallel,Parallel,5000,Standard,L2,"0,011","-0,171","-0,269","-1,860","-2,870","-3,836","-5,656","160,975","124,760","1989,000"
68,Celsa 2025 12 12 1406-Celsa-ALO 20060-5000A-0R0  | Parallel,Parallel,5000,Standard,L3,"0,136","-0,039","-0,108","-0,135","-0,144","-0,161","-0,521","43,771","124,760","1989,000"
69,Redur 2025 12 15 0912-Redur-20A1456.5vffp-5000A-0R0  | Parallel,Parallel,5000,FFP,L1,"0,041","-0,215","-0,262","-0,372","-0,871","-1,851","-4,265","135,864","296,640","1600,000"
70,Redur 2025 12 15 0912-Redur-20A1456.5vffp-5000A-0R0  | Parallel,Parallel,5000,FFP,L2,"-0,097","-0,204","-0,346","-3,242","-4,429","-5,476","-7,054","227,960","296,640","1600,000"
71,Redur 2025 12 15 0912-Redur-20A1456.5vffp-5000A-0R0  | Parallel,Parallel,5000,FFP,L3,"0,080","-0,084","-0,137","-0,158","-0,175","-0,214","-1,100","56,857","296,640","1600,000"
72,Celsa 2025 12 16 0812-Celsa-ALO 12070 K-4000A-0R0  | Parallel,Parallel,4000,Kompensiert,L1,"0,326","0,089","0,041","0,044","0,044","0,062","0,039","82,843","401,910","1520,000"
73,Celsa 2025 12 16 0812-Celsa-ALO 12070 K-4000A-0R0  | Parallel,Parallel,4000,Kompensiert,L2,"0,113","-0,114","-0,167","-0,170","-0,175","-0,198","-0,582","71,037","401,910","1520,000"
74,Celsa 2025 12 16 0812-Celsa-ALO 12070 K-4000A-0R0  | Parallel,Parallel,4000,Kompensiert,L3,"0,214","0,026","-0,041","-0,064","-0,063","-0,054","-0,031","43,583","401,910","1520,000"
75,Celsa 2025 12 16 1020-Celsa-ALO 12070-4000A-0R0  | Parallel,Parallel,4000,Standard,L1,"0,218","-0,034","-0,117","-0,142","-0,196","-0,698","-3,206","70,705","71,510","1520,000"
76,Celsa 2025 12 16 1020-Celsa-ALO 12070-4000A-0R0  | Parallel,Parallel,4000,Standard,L2,"0,139","-0,068","-0,123","-0,945","-2,027","-3,283","-5,861","120,116","71,510","1520,000"
77,Celsa 2025 12 16 1020-Celsa-ALO 12070-4000A-0R0  | Parallel,Parallel,4000,Standard,L3,"0,107","-0,122","-0,163","-0,201","-0,361","-1,218","-3,835","96,510","71,510","1520,000"
78,Celsa 2025 12 16 1140-Celsa-ALO 12070-4000A-0R0  | Dreieck,Dreieck,4000,Standard,L1,"0,248","-0,044","-0,117","-0,143","-0,159","-0,227","-1,489","67,313","71,510","1520,000"
79,Celsa 2025 12 16 1140-Celsa-ALO 12070-4000A-0R0  | Dreieck,Dreieck,4000,Standard,L2,"0,146","-0,094","-0,132","-0,149","-0,143","-0,151","0,291","65,156","71,510","1520,000"
80,Celsa 2025 12 16 1140-Celsa-ALO 12070-4000A-0R0  | Dreieck,Dreieck,4000,Standard,L3,"0,075","-0,109","-0,174","-0,190","-0,208","-0,302","-1,713","70,371","71,510","1520,000"
81,Celsa 2025 12 16 1315-Celsa-ALO 12070 K-4000A-0R0  | Dreieck,Dreieck,4000,Kompensiert,L1,"0,424","0,117","0,050","0,041","0,039","0,057","0,076","107,708","401,910","1520,000"
82,Celsa 2025 12 16 1315-Celsa-ALO 12070 K-4000A-0R0  | Dreieck,Dreieck,4000,Kompensiert,L2,"0,111","-0,068","-0,155","-0,185","-0,189","-0,203","-0,651","54,030","401,910","1520,000"
83,Celsa 2025 12 16 1315-Celsa-ALO 12070 K-4000A-0R0  | Dreieck,Dreieck,4000,Kompensiert,L3,"0,273","0,039","-0,033","-0,070","-0,065","-0,067","-0,061","57,001","401,910","1520,000"
